Timestamp,S1_1,S1_2,S1_3,S1_4,S1_5,S1_6,S2_1,S2_2,S3_1,S3_2,S4_1,S4_2,Nivel_agua,Nivel_total
2022-03-28 16:30:29.077450,1524.09211,1524.68481,1530.24909,1538.64202,1552.56145,1553.28067,1530.97984,1539.25582,1544.75033,1550.44113,1545.14132,1559.75143,257.0,257.0
2022-03-28 16:30:30.077450,1524.09149,1524.68394,1530.24918,1538.6419,1552.56179,1553.28082,1530.98088,1539.25625,1544.74942,1550.44092,1545.14176,1559.75146,257.0,257.0
2022-03-28 16:30:30.577450,1524.09188,1524.68456,1530.2499,1538.64199,1552.56185,1553.28024,1530.98075,1539.25534,1544.74935,1550.44088,1545.14159,1559.75129,257.0,257.0
2022-03-28 16:30:31.077450,1524.0911,1524.68446,1530.25035,1538.64248,1552.56166,1553.27986,1530.98132,1539.25674,1544.74955,1550.44076,1545.14139,1559.75074,257.0,257.0
2022-03-28 16:30:31.577450,1524.09134,1524.68469,1530.2498,1538.64243,1552.56175,1553.27996,1530.98129,1539.25638,1544.74984,1550.44063,1545.14203,1559.75192,257.0,257.0
2022-03-28 16:30:32.077450,1524.09039,1524.68393,1530.24898,1538.64235,1552.56129,1553.28068,1530.98276,1539.25568,1544.75001,1550.44047,1545.14136,1559.75053,257.0,257.0
2022-03-28 16:30:32.577450,1524.09084,1524.6834,1530.24943,1538.64269,1552.56132,1553.28004,1530.98335,1539.25572,1544.749,1550.44021,1545.14119,1559.75194,257.0,257.0
2022-03-28 16:30:33.077450,1524.09116,1524.6839,1530.24936,1538.6428,1552.56111,1553.27999,1530.98182,1539.25693,1544.75017,1550.44037,1545.14177,1559.75157,257.0,257.0
2022-03-28 16:30:33.577450,1524.09109,1524.68363,1530.24977,1538.64266,1552.56175,1553.28063,1530.98272,1539.2567,1544.74993,1550.43943,1545.14161,1559.75079,257.0,257.0
2022-03-28 16:30:34.077450,1524.0917,1524.68379,1530.24983,1538.64306,1552.56126,1553.2803,1530.98205,1539.25606,1544.7508,1550.4397,1545.14181,1559.75159,257.0,257.0
2022-03-28 16:30:34.577450,1524.09119,1524.68356,1530.24996,1538.64182,1552.56136,1553.2798,1530.98265,1539.25639,1544.74981,1550.43977,1545.14177,1559.75325,257.0,257.0
2022-03-28 16:30:35.077450,1524.09123,1524.68286,1530.24928,1538.64288,1552.56139,1553.27969,1530.98287,1539.25726,1544.75028,1550.43952,1545.141,1559.75079,257.0,257.0
2022-03-28 16:30:35.577450,1524.09136,1524.68299,1530.24869,1538.64278,1552.56149,1553.27997,1530.98314,1539.25611,1544.74998,1550.43905,1545.14216,1559.75075,257.0,257.0
2022-03-28 16:30:36.077450,1524.09135,1524.68382,1530.24921,1538.64281,1552.56113,1553.27972,1530.9833,1539.2564,1544.75121,1550.43993,1545.14153,1559.75139,257.0,257.0
2022-03-28 16:30:36.577450,1524.09089,1524.68302,1530.24899,1538.6425,1552.56151,1553.27977,1530.98361,1539.25706,1544.74913,1550.43867,1545.14198,1559.75161,257.0,257.0
2022-03-28 16:30:37.077450,1524.09108,1524.68222,1530.24973,1538.64249,1552.56126,1553.28014,1530.98398,1539.25617,1544.74985,1550.43938,1545.14137,1559.75198,257.0,257.0
2022-03-28 16:30:37.577450,1524.09152,1524.68233,1530.24917,1538.64239,1552.56111,1553.28024,1530.98423,1539.25633,1544.7494,1550.43841,1545.14174,1559.75183,257.0,257.0
2022-03-28 16:30:38.077450,1524.09192,1524.68277,1530.24948,1538.64258,1552.56151,1553.27976,1530.98509,1539.25622,1544.74891,1550.43863,1545.14066,1559.75109,257.0,257.0
2022-03-28 16:30:38.577450,1524.09068,1524.68222,1530.24941,1538.64304,1552.56114,1553.27925,1530.98455,1539.25605,1544.74927,1550.43807,1545.14108,1559.75101,257.0,257.0
2022-03-28 16:30:39.077450,1524.09158,1524.68233,1530.25,1538.64306,1552.5608,1553.27994,1530.98487,1539.25634,1544.74983,1550.43881,1545.14128,1559.75163,257.0,257.0
2022-03-28 16:30:39.577450,1524.09145,1524.68194,1530.24979,1538.64295,1552.56133,1553.27914,1530.98488,1539.25661,1544.74958,1550.43817,1545.14149,1559.75162,257.0,257.0
2022-03-28 16:30:40.077450,1524.09138,1524.6819,1530.24987,1538.64287,1552.5617,1553.27998,1530.98497,1539.25653,1544.74856,1550.43895,1545.14172,1559.75179,257.0,257.0
2022-03-28 16:30:40.577450,1524.09072,1524.68182,1530.24901,1538.6423,1552.56152,1553.27939,1530.98515,1539.25651,1544.74915,1550.43863,1545.14109,1559.75125,257.0,257.0
2022-03-28 16:30:41.077450,1524.09151,1524.68188,1530.24916,1538.64252,1552.56067,1553.27966,1530.9846,1539.257,1544.74961,1550.43881,1545.14127,1559.75077,257.0,257.0
2022-03-28 16:30:41.577450,1524.09104,1524.68136,1530.24986,1538.64328,1552.56115,1553.28001,1530.98501,1539.25663,1544.74933,1550.43786,1545.14159,1559.7506,257.0,257.0
2022-03-28 16:30:42.077450,1524.09179,1524.68116,1530.25002,1538.64258,1552.56151,1553.27963,1530.98495,1539.25656,1544.74856,1550.43804,1545.14121,1559.75199,257.0,257.0
2022-03-28 16:30:42.577450,1524.0918,1524.68144,1530.25018,1538.64316,1552.56094,1553.27965,1530.98497,1539.25689,1544.75026,1550.43893,1545.14169,1559.75152,257.0,257.0
2022-03-28 16:30:43.077450,1524.09092,1524.68083,1530.24946,1538.64268,1552.56117,1553.28045,1530.98676,1539.25748,1544.7498,1550.43835,1545.14153,1559.75181,257.0,257.0
2022-03-28 16:30:43.577450,1524.09068,1524.68105,1530.24939,1538.64345,1552.5609,1553.27947,1530.98587,1539.25691,1544.75075,1550.43876,1545.14167,1559.75127,257.0,257.0
2022-03-28 16:30:44.077450,1524.0915,1524.68119,1530.2489,1538.64285,1552.56136,1553.2794,1530.98564,1539.25635,1544.74922,1550.43733,1545.14045,1559.75143,257.0,257.0
2022-03-28 16:30:44.577450,1524.09219,1524.68143,1530.249,1538.64253,1552.56107,1553.27909,1530.98681,1539.25656,1544.74914,1550.43708,1545.14164,1559.7513,257.0,257.0
2022-03-28 16:30:45.077450,1524.09166,1524.68054,1530.24939,1538.64338,1552.56112,1553.27962,1530.98674,1539.25721,1544.75028,1550.43803,1545.14097,1559.75194,257.0,257.0
2022-03-28 16:30:45.577450,1524.09111,1524.68003,1530.25002,1538.64256,1552.56124,1553.27919,1530.98726,1539.25664,1544.75042,1550.43731,1545.14196,1559.75153,257.0,257.0
2022-03-28 16:30:46.077450,1524.09139,1524.68064,1530.24967,1538.64262,1552.56144,1553.27926,1530.98731,1539.25732,1544.75037,1550.43749,1545.14123,1559.75222,257.0,257.0
2022-03-28 16:30:46.577450,1524.0915,1524.68067,1530.2495,1538.64315,1552.56075,1553.2793,1530.98771,1539.2567,1544.74945,1550.43721,1545.13967,1559.75112,257.0,257.0
2022-03-28 16:30:47.077450,1524.09068,1524.67965,1530.24975,1538.643,1552.5612,1553.27916,1530.98757,1539.25692,1544.75005,1550.43702,1545.14162,1559.75078,257.0,257.0
2022-03-28 16:30:47.577450,1524.09168,1524.68051,1530.24947,1538.6429,1552.56091,1553.27934,1530.98759,1539.25739,1544.75064,1550.43683,1545.14068,1559.75159,257.0,257.0
2022-03-28 16:30:48.077450,1524.09114,1524.68004,1530.24986,1538.64311,1552.56107,1553.27931,1530.98736,1539.2573,1544.7509,1550.43718,1545.1413,1559.75242,257.0,257.0
2022-03-28 16:30:48.577450,1524.09126,1524.68044,1530.24954,1538.64251,1552.56144,1553.27924,1530.98786,1539.25702,1544.7501,1550.43711,1545.14147,1559.75212,257.0,257.0
2022-03-28 16:30:49.077450,1524.09201,1524.67987,1530.25053,1538.64299,1552.56133,1553.27946,1530.98846,1539.25685,1544.75043,1550.43656,1545.14044,1559.75271,257.0,257.0
2022-03-28 16:30:49.577450,1524.09109,1524.67935,1530.2498,1538.64309,1552.56155,1553.27935,1530.98802,1539.25588,1544.75078,1550.43679,1545.14126,1559.752,257.0,257.0
2022-03-28 16:30:50.077450,1524.09169,1524.68008,1530.25018,1538.64302,1552.5615,1553.27925,1530.98791,1539.25739,1544.75003,1550.43622,1545.14163,1559.75263,257.0,257.0
2022-03-28 16:30:50.577450,1524.09153,1524.67952,1530.24998,1538.64361,1552.56137,1553.27843,1530.9888,1539.25983,1544.7501,1550.43599,1545.14088,1559.75219,257.0,257.0
2022-03-28 16:30:51.077450,1524.09184,1524.67977,1530.25012,1538.64324,1552.56111,1553.27896,1530.98877,1539.25757,1544.75008,1550.43619,1545.14076,1559.75215,257.0,257.0
2022-03-28 16:30:51.577450,1524.0914,1524.67912,1530.24965,1538.64234,1552.56137,1553.279,1530.98842,1539.25621,1544.75112,1550.43692,1545.14108,1559.75192,257.0,257.0
2022-03-28 16:30:52.077450,1524.09075,1524.67837,1530.24999,1538.64278,1552.56072,1553.27894,1530.98842,1539.25679,1544.7499,1550.43655,1545.14102,1559.75217,257.0,257.0
2022-03-28 16:30:52.577450,1524.09206,1524.67927,1530.25013,1538.64311,1552.56131,1553.27949,1530.98895,1539.25727,1544.75049,1550.43595,1545.14057,1559.75313,257.0,257.0
2022-03-28 16:30:53.077450,1524.09232,1524.67955,1530.24978,1538.64312,1552.56114,1553.27873,1530.98913,1539.25708,1544.75037,1550.43599,1545.14119,1559.75238,257.0,257.0
2022-03-28 16:30:53.577450,1524.09225,1524.67896,1530.24912,1538.64267,1552.56074,1553.27835,1530.98965,1539.25725,1544.74852,1550.43562,1545.14213,1559.75474,257.0,257.0
2022-03-28 16:30:54.077450,1524.09121,1524.67856,1530.24922,1538.64339,1552.56125,1553.27862,1530.98945,1539.25707,1544.75022,1550.43525,1545.14062,1559.75508,257.0,257.0
2022-03-28 16:30:54.577450,1524.09294,1524.67844,1530.24941,1538.6431,1552.56131,1553.27897,1530.98896,1539.25711,1544.75031,1550.43652,1545.14101,1559.7524,257.0,257.0
2022-03-28 16:30:55.077450,1524.09446,1524.6789,1530.2486,1538.64315,1552.56124,1553.27966,1530.98963,1539.25701,1544.75055,1550.43593,1545.14108,1559.75263,257.0,257.0
2022-03-28 16:30:55.577450,1524.09377,1524.67921,1530.24989,1538.64319,1552.56092,1553.27906,1530.98982,1539.25735,1544.75023,1550.43588,1545.14025,1559.75221,257.0,257.0
2022-03-28 16:30:57.077450,1524.09176,1524.67879,1530.25037,1538.64283,1552.56175,1553.2789,1530.99011,1539.25739,1544.75017,1550.43465,1545.14075,1559.75232,257.0,257.0
2022-03-28 16:30:57.577450,1524.09188,1524.67844,1530.24968,1538.64364,1552.56196,1553.27852,1530.99057,1539.25743,1544.74946,1550.43565,1545.14076,1559.75189,257.0,257.0
2022-03-28 16:30:58.077450,1524.08979,1524.67815,1530.24994,1538.64308,1552.56076,1553.27902,1530.99028,1539.2576,1544.74874,1550.43496,1545.14086,1559.75167,257.0,257.0
2022-03-28 16:30:58.577450,1524.09262,1524.67849,1530.24902,1538.64312,1552.5614,1553.27905,1530.99056,1539.25717,1544.75106,1550.43512,1545.14112,1559.75246,257.0,257.0
2022-03-28 16:30:59.077450,1524.09208,1524.67757,1530.24935,1538.64326,1552.56199,1553.27884,1530.99073,1539.25847,1544.74843,1550.43497,1545.14089,1559.75211,257.0,257.0
2022-03-28 16:30:59.577450,1524.09075,1524.67765,1530.24881,1538.64289,1552.56107,1553.27899,1530.99036,1539.25715,1544.74923,1550.43535,1545.14042,1559.75175,257.0,257.0
2022-03-28 16:31:00.077450,1524.09279,1524.67828,1530.24957,1538.64338,1552.56138,1553.27874,1530.99108,1539.25778,1544.74968,1550.43428,1545.14094,1559.75217,257.0,257.0
2022-03-28 16:31:00.577450,1524.09259,1524.67773,1530.24957,1538.64325,1552.56109,1553.27864,1530.99123,1539.25774,1544.75106,1550.43503,1545.14107,1559.75227,257.0,257.0
2022-03-28 16:31:01.077450,1524.09134,1524.67789,1530.24958,1538.64304,1552.56114,1553.27868,1530.99063,1539.25778,1544.75034,1550.43516,1545.14099,1559.75254,257.0,257.0
2022-03-28 16:31:01.577450,1524.09338,1524.6772,1530.24996,1538.64326,1552.56135,1553.27889,1530.99163,1539.25755,1544.74955,1550.43453,1545.14076,1559.75452,257.0,257.0
2022-03-28 16:31:02.077450,1524.09338,1524.67757,1530.24986,1538.6431,1552.56149,1553.27942,1530.99096,1539.25758,1544.75137,1550.4346,1545.14135,1559.75174,257.0,257.0
2022-03-28 16:31:02.577450,1524.08978,1524.67792,1530.24974,1538.64304,1552.56151,1553.27882,1530.99113,1539.25748,1544.75146,1550.43515,1545.14073,1559.75332,257.0,257.0
2022-03-28 16:31:03.077450,1524.09533,1524.67776,1530.24977,1538.64317,1552.56127,1553.27949,1530.99223,1539.25764,1544.7507,1550.43451,1545.13995,1559.75264,257.0,257.0
