;mean_fit_time;std_fit_time;mean_score_time;std_score_time;param_max_depth;param_max_features;param_min_samples_leaf;param_min_samples_split;param_n_estimators;params;split0_test_score;split1_test_score;split2_test_score;split3_test_score;split4_test_score;mean_test_score;std_test_score;rank_test_score
33;4.712942504882813;0.02962762133240897;0.05758123397827149;0.0003735761353607318;;log2;1;10;100;{'max_depth': None, 'max_features': 'log2', 'min_samples_leaf': 1, 'min_samples_split': 10, 'n_estimators': 100};0.9999496494991446;0.9999529014375533;0.999991596285196;0.9999576039245949;0.9999860922011754;0.9999675686695328;1.7640680497030064e-05;1
6;4.7260411262512205;0.03334927874055216;0.059035634994506835;0.002996792751054763;;sqrt;1;10;100;{'max_depth': None, 'max_features': 'sqrt', 'min_samples_leaf': 1, 'min_samples_split': 10, 'n_estimators': 100};0.9999496494991446;0.9999529014375533;0.999991596285196;0.9999576039245949;0.9999860922011754;0.9999675686695328;1.7640680497030064e-05;1
276;4.708218097686768;0.02913491643735002;0.05724921226501465;0.0002790030648536474;20;log2;1;10;100;{'max_depth': 20, 'max_features': 'log2', 'min_samples_leaf': 1, 'min_samples_split': 10, 'n_estimators': 100};0.9999496494991446;0.9999529014375533;0.999991596285196;0.9999575537964555;0.9999860922011754;0.999967558643905;1.7646354187212643e-05;3
249;4.687021255493164;0.030640247217892047;0.05716028213500977;0.0006070804596696338;20;sqrt;1;10;100;{'max_depth': 20, 'max_features': 'sqrt', 'min_samples_leaf': 1, 'min_samples_split': 10, 'n_estimators': 100};0.9999496494991446;0.9999529014375533;0.999991596285196;0.9999575537964555;0.9999860922011754;0.999967558643905;1.7646354187212643e-05;3
7;9.40489330291748;0.045732692458643774;0.112115478515625;0.0007610369833930857;;sqrt;1;10;200;{'max_depth': None, 'max_features': 'sqrt', 'min_samples_leaf': 1, 'min_samples_split': 10, 'n_estimators': 200};0.9999491228151158;0.9999383933489785;0.9999926914230148;0.9999679167194282;0.99998879638528;0.9999673841383636;2.1322140666221957e-05;5
34;9.423610544204712;0.09131966648555544;0.11376237869262695;0.004149581889771088;;log2;1;10;200;{'max_depth': None, 'max_features': 'log2', 'min_samples_leaf': 1, 'min_samples_split': 10, 'n_estimators': 200};0.9999491228151158;0.9999383933489785;0.9999926914230148;0.9999679167194282;0.99998879638528;0.9999673841383636;2.1322140666221957e-05;5
250;9.342213535308838;0.05236524507652277;0.11032562255859375;0.0010053711741431727;20;sqrt;1;10;200;{'max_depth': 20, 'max_features': 'sqrt', 'min_samples_leaf': 1, 'min_samples_split': 10, 'n_estimators': 200};0.9999491228151158;0.9999383933489785;0.9999926914230148;0.9999678994837958;0.9999887962992214;0.9999673806740252;2.1322038391570146e-05;7
277;9.40896134376526;0.03917645653681289;0.11128411293029786;0.001170459883741011;20;log2;1;10;200;{'max_depth': 20, 'max_features': 'log2', 'min_samples_leaf': 1, 'min_samples_split': 10, 'n_estimators': 200};0.9999491228151158;0.9999383933489785;0.9999926914230148;0.9999678994837958;0.9999887962992214;0.9999673806740252;2.1322038391570146e-05;7
273;4.719385004043579;0.025459426900356977;0.0574282169342041;0.00021637184746550446;20;log2;1;5;100;{'max_depth': 20, 'max_features': 'log2', 'min_samples_leaf': 1, 'min_samples_split': 5, 'n_estimators': 100};0.9999517791825011;0.9999492627620172;0.9999901358870216;0.9999597417615439;0.9999852465489796;0.9999672332284127;1.712833186597033e-05;9
246;4.714906644821167;0.051697450357131754;0.05777187347412109;0.00042679675775498545;20;sqrt;1;5;100;{'max_depth': 20, 'max_features': 'sqrt', 'min_samples_leaf': 1, 'min_samples_split': 5, 'n_estimators': 100};0.9999517791825011;0.9999492627620172;0.9999901358870216;0.9999597417615439;0.9999852465489796;0.9999672332284127;1.712833186597033e-05;9
247;9.389230442047118;0.045804113158962545;0.11153020858764648;0.001008235977427074;20;sqrt;1;5;200;{'max_depth': 20, 'max_features': 'sqrt', 'min_samples_leaf': 1, 'min_samples_split': 5, 'n_estimators': 200};0.9999504823642188;0.9999348925607265;0.9999922446017994;0.9999695108484118;0.999988878848145;0.9999672018446603;2.2026322970815462e-05;11
274;9.408657836914063;0.05081161753873789;0.11106657981872559;0.0003254748770813007;20;log2;1;5;200;{'max_depth': 20, 'max_features': 'log2', 'min_samples_leaf': 1, 'min_samples_split': 5, 'n_estimators': 200};0.9999504823642188;0.9999348925607265;0.9999922446017994;0.9999695108484118;0.999988878848145;0.9999672018446603;2.2026322970815462e-05;11
4;9.44418249130249;0.05282285662286984;0.11205682754516602;0.0004051283141524283;;sqrt;1;5;200;{'max_depth': None, 'max_features': 'sqrt', 'min_samples_leaf': 1, 'min_samples_split': 5, 'n_estimators': 200};0.9999504868908269;0.9999348925607265;0.9999922446017994;0.9999676019844242;0.9999888676568106;0.9999668187389176;2.1996603706045476e-05;13
31;9.504613828659057;0.09460707999379815;0.11325087547302246;0.00058982483257999;;log2;1;5;200;{'max_depth': None, 'max_features': 'log2', 'min_samples_leaf': 1, 'min_samples_split': 5, 'n_estimators': 200};0.9999504868908269;0.9999348925607265;0.9999922446017994;0.9999676019844242;0.9999888676568106;0.9999668187389176;2.1996603706045476e-05;13
244;9.338921976089477;0.021635517401542202;0.11296558380126953;0.003694118316693788;20;sqrt;1;2;200;{'max_depth': 20, 'max_features': 'sqrt', 'min_samples_leaf': 1, 'min_samples_split': 2, 'n_estimators': 200};0.9999512985331191;0.9999307719478555;0.9999921372907764;0.9999684616405362;0.999989057679927;0.9999663454184429;2.3140555152002705e-05;15
271;9.404325389862061;0.02367138730251948;0.11117935180664062;0.0006749152025462824;20;log2;1;2;200;{'max_depth': 20, 'max_features': 'log2', 'min_samples_leaf': 1, 'min_samples_split': 2, 'n_estimators': 200};0.9999512985331191;0.9999307719478555;0.9999921372907764;0.9999684616405362;0.999989057679927;0.9999663454184429;2.3140555152002705e-05;15
30;4.765550947189331;0.04051712359525367;0.05866360664367676;0.0006378461756264736;;log2;1;5;100;{'max_depth': None, 'max_features': 'log2', 'min_samples_leaf': 1, 'min_samples_split': 5, 'n_estimators': 100};0.9999517969192254;0.9999492627620172;0.9999901358870216;0.9999552683433142;0.9999852195678749;0.9999663366958906;1.7597710675001877e-05;17
3;4.731620407104492;0.028204091413711267;0.0597996711730957;0.0017612249710061252;;sqrt;1;5;100;{'max_depth': None, 'max_features': 'sqrt', 'min_samples_leaf': 1, 'min_samples_split': 5, 'n_estimators': 100};0.9999517969192254;0.9999492627620172;0.9999901358870216;0.9999552683433142;0.9999852195678749;0.9999663366958906;1.7597710675001877e-05;17
