number,value,datetime_start,datetime_complete,duration,params_activation,params_alpha,params_hidden_units,params_learning_rate_init,params_n_hidden_layers,state
0,0.006216957218340462,2025-11-15 18:00:44.056394,2025-11-15 18:19:30.433494,0 days 00:18:46.377100,relu,1.5596988905001667e-05,30,0.003456301036069964,4,COMPLETE
1,0.02875138441753232,2025-11-15 18:00:44.062886,2025-11-15 19:06:46.347976,0 days 01:06:02.285090,tanh,0.007550243130229034,24,3.0802899816098545e-05,4,COMPLETE
2,0.022656241782876684,2025-11-15 18:00:44.079313,2025-11-15 19:03:52.147038,0 days 01:03:08.067725,tanh,0.0006849678109185348,29,3.825449989105496e-05,4,COMPLETE
3,0.04358249867562716,2025-11-15 18:00:44.085576,2025-11-15 18:36:21.997230,0 days 00:35:37.911654,tanh,0.00972621164509582,15,6.393592158139533e-05,2,COMPLETE
4,0.034938582918350475,2025-11-15 18:00:44.094368,2025-11-15 18:51:49.944290,0 days 00:51:05.849922,tanh,0.00024287257997376993,15,2.2619099534375443e-05,3,COMPLETE
5,0.038160201199185444,2025-11-15 18:00:44.126144,2025-11-15 19:07:52.309029,0 days 01:07:08.182885,tanh,9.450918480313856e-05,31,1.1011320478489441e-05,3,COMPLETE
6,0.04088945165484577,2025-11-15 18:00:44.141864,2025-11-15 18:17:37.686795,0 days 00:16:53.544931,tanh,0.0007085488599982366,29,0.00030113019365872527,1,COMPLETE
7,0.007054271707776346,2025-11-15 18:00:44.174873,2025-11-15 18:10:58.477497,0 days 00:10:14.302624,relu,8.786962038078794e-05,20,0.0038001195209791273,4,COMPLETE
8,0.01224593701042003,2025-11-15 18:00:44.184515,2025-11-15 18:10:28.424085,0 days 00:09:44.239570,relu,0.0006376955644362439,27,0.0005505096152244978,2,COMPLETE
9,0.036069268107150804,2025-11-15 18:00:44.188902,2025-11-15 18:39:07.955673,0 days 00:38:23.766771,relu,0.0006790216412853644,14,1.9877434333894764e-05,4,COMPLETE
10,0.00726883063992696,2025-11-15 18:00:44.193456,2025-11-15 18:31:07.019110,0 days 00:30:22.825654,relu,0.00012974980446433192,24,0.004421717389932737,3,COMPLETE
11,0.008580883550423881,2025-11-15 18:00:44.206960,2025-11-15 18:08:21.115967,0 days 00:07:36.909007,relu,4.341144247589677e-06,29,0.009853859727873001,2,COMPLETE
12,0.05959624042094933,2025-11-15 18:00:44.211297,2025-11-15 18:22:36.693465,0 days 00:21:52.482168,relu,0.004347168701837738,11,0.00011723961211961149,1,COMPLETE
13,0.03297372881657302,2025-11-15 18:00:44.215723,2025-11-15 18:50:10.398165,0 days 00:49:26.182442,tanh,0.004237661928995649,20,3.651498630336823e-05,3,COMPLETE
14,0.03538045443598184,2025-11-15 18:00:44.220262,2025-11-15 18:29:36.085411,0 days 00:28:51.865149,tanh,0.005432672877815435,14,0.00016862532529434847,2,COMPLETE
15,0.013757998136758418,2025-11-15 18:00:44.222369,2025-11-15 18:17:06.504841,0 days 00:16:22.282472,tanh,1.5632674984600674e-06,12,0.0017371605801503546,2,COMPLETE
16,0.02294127449528584,2025-11-15 18:08:21.284714,2025-11-15 18:51:49.435171,0 days 00:43:28.150457,relu,1.151163675177348e-05,20,2.017181023680936e-05,4,COMPLETE
17,0.012305315426816215,2025-11-15 18:10:28.621149,2025-11-15 18:26:23.319864,0 days 00:15:54.698715,relu,7.824373977224839e-05,18,0.00017288894448313623,3,COMPLETE
18,0.03822655836664376,2025-11-15 18:10:58.642414,2025-11-15 18:40:30.677864,0 days 00:29:32.035450,tanh,2.8605980166253684e-06,20,0.00016596161069145233,1,COMPLETE
19,0.01119839273851813,2025-11-15 18:17:06.591603,2025-11-15 18:31:30.650828,0 days 00:14:24.059225,relu,0.0007118549264610491,13,0.0018667299858426175,4,COMPLETE
20,0.01259956597022982,2025-11-15 18:17:37.858226,2025-11-15 18:49:16.380825,0 days 00:31:38.522599,tanh,2.093894237706933e-06,25,0.0006157207878758887,2,COMPLETE
21,0.008434834006464904,2025-11-15 18:19:30.634905,2025-11-15 18:33:35.205777,0 days 00:14:04.570872,tanh,7.029309086783035e-06,17,0.003349539213865333,4,COMPLETE
22,0.0311117614943974,2025-11-15 18:22:36.766806,2025-11-15 18:42:31.552741,0 days 00:19:54.785935,tanh,7.632975800760119e-05,26,0.0005895832968223455,1,COMPLETE
23,0.03144645348633684,2025-11-15 18:26:23.450871,2025-11-15 18:38:04.102221,0 days 00:11:40.651350,tanh,1.1052437696892838e-05,27,0.0010318859191808666,1,COMPLETE
24,0.013546814595213064,2025-11-15 18:29:36.167757,2025-11-15 18:39:58.936382,0 days 00:10:22.768625,relu,0.0061515091848807196,31,0.009409165862434253,2,COMPLETE
25,0.022751867274883833,2025-11-15 18:31:07.162029,2025-11-15 19:07:29.753285,0 days 00:36:22.591256,tanh,9.608109672623026e-06,32,3.785758609734037e-05,4,COMPLETE
26,0.020976573912577418,2025-11-15 18:31:30.769736,2025-11-15 18:55:51.749004,0 days 00:24:20.979268,relu,1.812903335695488e-05,20,2.5623663136979965e-05,4,COMPLETE
